reporting_period,category_id,category_name,lines,revenue_as_billed,revenue_at_price_in_force,till_sync_drift
2024-11,C04,Staples & Grains,5838,9809048.7,9808176.49,-872.21
2024-11,C09,Baby Care,5468,8476657.05,8473209.49,-3447.56
2024-11,C05,Edible Oils,5566,8341119.61,8338938.11,-2181.5
2024-11,C02,Dairy,5881,3921830.97,3920406.77,-1424.2
2024-11,C07,Personal Care,4605,3823489.55,3823243.44,-246.11
2024-11,C10,Frozen & Ready to Eat,5400,2842883.31,2842729.61,-153.7
2024-11,C08,Home Care,4550,2762680.41,2762386.75,-293.66
2024-11,C03,Beverages,4916,2567257.71,2567010.45,-247.26
2024-11,C14,Stationery & General,5352,2511451.15,2511238.58,-212.57
2024-11,C06,Spices & Masala,5006,1785506.13,1785783.85,277.72
2024-11,C13,Confectionery,5202,1682983.12,1682580.8,-402.32
2024-11,C12,Fruits & Vegetables,5366,1511313.31,1511541.28,227.97
2024-11,C11,Bakery,5919,1311238.84,1311073.62,-165.22
2024-11,C01,Biscuits & Snacks,5446,747588.79,747452.92,-135.87
2024-11,C00,Bill-level discount,2197,-511210.18,-511210.18,0.0
